comment_count,content,forward_count,id,keyword,like_count,posted_at,url,user
,MACD的基本用法：MACD买卖实战技巧，看懂受用终身！(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份 先锋晓晓的秒拍视频 ​​​,,GD5Hz84yp,600000,0,2018年10月09日 11:04,https://weibo.cn/comment/GD5Hz84yp?uid=6311567689&rl=1,先锋晓晓
1,600000分钟的原始素材记录，1000名《影》幕后工作人员，12位获得金马奖提名的电影“小人物”，4年精雕细琢的匠人之心，电影《影》超大彩蛋，纪录片《#张艺谋和他的影#》，即将于10月12日正式登陆全国各大院线，感谢每一位“幕后英雄”的竭力付出，你们，都是《影》的“光”！[心][心][心] ​​​,1,GD5KYp0F2,600000,9,2018年10月09日 11:12,https://weibo.cn/comment/GD5KYp0F2?uid=6171288993&rl=1,张艺谋作品影
,CCI指标使用技巧 CCI和KDJ组合实战应用总结(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份(600015)华夏银行(600009)上海机场(600011)华能国际(600010)包钢股份(600050)中国联通(600038)中直股份(600021)上海电力(600064)南京高科 先锋晓晓的秒拍视频,,GD5Iqh6g8,600000,0,2018年10月09日 11:06,https://weibo.cn/comment/GD5Iqh6g8?uid=6311567689&rl=1,先锋晓晓
,中国 短线指标之王——MACD买卖技巧，简单实用!(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份(600015)华夏银行(600009)上海机场(600011)华能国际(600010)包钢股份(600050)中国联通(600038)中直股份(600021)上海电力(600064)南京高科 先锋晓晓的秒拍视频,,GD5Ity2aN,600000,0,2018年10月09日 11:06,https://weibo.cn/comment/GD5Ity2aN?uid=6311567689&rl=1,先锋晓晓
,"中国一个成熟交易员的MACD实战细节,稳定盈利不是梦！(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份(600015)华夏银行(600009)上海机场(600011)华能国际(600010)包钢股份(600050)中国联通(600038)中直股份(600021)上海电力(600064)南京高科 先锋晓晓的秒拍视频",,GD5IvCsg6,600000,0,2018年10月09日 11:06,https://weibo.cn/comment/GD5IvCsg6?uid=6311567689&rl=1,先锋晓晓
,牢记一个黄金指标，千钧一发抢先买进强势股！(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份 ​​​,,GD5JwhDnz,600000,0,2018年10月09日 11:08,https://weibo.cn/comment/GD5JwhDnz?uid=6311567689&rl=1,先锋晓晓
,中国千金难求的选股指标—布林线BOLL，抄底从未失手(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份(600015)华夏银行(600009)上海机场(600011)华能国际(600010)包钢股份(600050)中国联通(600038)中直股份(600021)上海电力(600064)南京高科 先锋晓晓的秒拍视频,,GD5Isq1YN,600000,0,2018年10月09日 11:06,https://weibo.cn/comment/GD5Isq1YN?uid=6311567689&rl=1,先锋晓晓
,一个成熟交易员的MACD实战细节 学会轻松转亏为盈(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份(600015)华夏银行(600009)上海机场(600011)华能国际(600010)包钢股份(600050)中国联通(600038)中直股份(600021)上海电力(600064)南京高科 先锋晓晓的秒拍视频,,GD5IxFjO8,600000,0,2018年10月09日 11:06,https://weibo.cn/comment/GD5IxFjO8?uid=6311567689&rl=1,先锋晓晓
,分享：“分时图买入法”，轻松把握最佳买点！(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份 ​​​,,GD5Jq51Ck,600000,0,2018年10月09日 11:08,https://weibo.cn/comment/GD5Jq51Ck?uid=6311567689&rl=1,先锋晓晓
,股市MACD技巧：顺势识别金叉死叉、逆市背离逃顶抄底(600000)浦发银行(600004)白云机场(600007)中国国贸(600012)皖通高速(600016)民生银行(600006)东风汽车(600008)首创股份 先锋晓晓的秒拍视频 ​​​,,GD5HxmB8r,600008,0,2018年10月09日 11:03,https://weibo.cn/comment/GD5HxmB8r?uid=6311567689&rl=1,先锋晓晓
